====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260615 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 14.63      | 🚀 買進           |       +7.66% |      6 |    61.54% | [P:0.51] RSI:49.79|MACD:0.29|KD_Diff:1.69|BIAS_20:2.42
00401A.TW    | 主動摩根台灣鑫收   | 13.70      | ❄️ 空倉          |      +10.77% |      6 |    68.00% | [P:0.41] RSI:51.75|MACD:0.31|KD_Diff:1.91|BIAS_20:2.34
00403A.TW    | 主動統一升級50   | 10.61      | 🟢 持股           |       +0.00% |      1 |    69.23% | [P:0.50] [⚠️降級預設] RSI:49.50|MACD:0.04|KD_Diff:4.38|D_Value:46.00
0050.TW      | 元大台灣50     | 105.25     | 🟢 持股           |      +31.02% |     27 |    48.76% | [P:0.57] Vol_Ratio:0.74|BIAS_20:3.75|MA_Slope:0.51|BB_Upper:4.46
0052.TW      | 富邦科技       | 61.60      | ❄️ 空倉          |      +33.77% |     14 |    51.16% | [P:0.48] MACD:1.44|D_Value:44.85|Vol_Ratio:1.02|BB_Upper:4.82
0056.TW      | 元大高股息      | 51.50      | ❄️ 空倉          |      +26.34% |     16 |    51.55% | [P:0.48] KD_Diff:-2.50|Vol_Ratio:0.63|BB_Upper:6.99|MA_Bull:0.00
006201.TWO   | 元大富櫃50     | 47.75      | ❄️ 空倉          |      +50.52% |     30 |    49.98% | [P:0.46] Vol_Ratio:0.61|MA_Slope:0.16|BB_Upper:8.96|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 190.10     | 💥 賣出           |      +29.82% |     35 |    51.24% | [P:0.45] KD_Diff:0.19|D_Value:47.50|Vol_Ratio:1.36|MA_Bull:0.00
006208.TW    | 富邦台50      | 244.10     | ❄️ 空倉          |      +29.52% |     12 |    50.05% | [P:0.40] MACD:7.04|D_Value:48.95|Vol_Ratio:1.59|BIAS_20:3.98
00631L.TW    | 元大台灣50正2   | 37.07      | 💥 賣出           |      +11.45% |      7 |    50.43% | [P:0.45] KD_Diff:1.13|BIAS_20:6.32|MA_Slope:0.89|BB_Upper:8.57
00632R.TW    | 元大台灣50反1   | 10.23      | 🚀 買進           |       +4.33% |      6 |    57.17% | [P:0.50] MACD:-0.32|D_Value:47.62|BIAS_20:-4.11|MA_Slope:-0.58
00633L.TW    | 富邦上証正2     | 53.00      | 🚀 買進           |      +10.98% |     14 |    49.46% | [P:0.50] MACD:0.00|KD_Diff:4.42|MA_Slope:0.14|BB_Upper:4.54
00634R.TW    | 富邦上証反1     | 3.02       | 💥 賣出           |       -3.13% |     13 |    52.68% | [P:0.47] KD_Diff:-6.66|D_Value:66.59|Vol_Ratio:1.49|MA_Slope:-0.13
00635U.TW    | 期元大S&P黃金   | 45.23      | 🟢 持股           |      +21.46% |     19 |    51.57% | [P:0.53] MACD:-1.16|D_Value:25.97|Vol_Ratio:0.95|MA_Bull:0.00
