id,name,price,signal,pnl,count,win_rate,reason
2408.TW,南亞科,303.5,☁️ 觀望,236.54,6,100.0,[P:0.95/50.0] [🚀 極強] 等待機會
2344.TW,華邦電,141.0,💎 持股,209.36,8,62.5,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
3026.TW,禾伸堂,570.0,🚀 持股,181.36,7,85.71,[🚀 爆發 5D30%] [P:0.95/50.0] [🚀 極強] 趨勢維持
2308.TW,台達電,2350.0,🟡 預警 (⚡ 糾結噴發),174.2,6,66.67,[P:0.95/50.0] [🚀 極強] 均線糾結且短均線轉強
2327.TW,國巨*,661.0,💎 持股,144.16,7,57.14,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
2337.TW,旺宏,160.5,🟡 預警 (🚀 動能初現),118.09,8,50.0,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:3.9%)
8299.TWO,群聯,2505.0,🟡 預警 (⚡ 糾結噴發),94.36,8,62.5,[P:0.95/50.0] [🚀 極強] 均線糾結且短均線轉強
2492.TW,華新科,328.5,💎 持股,72.98,10,30.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2478.TW,大毅,119.0,☁️ 觀望,49.55,8,37.5,[P:0.95/50.0] [📈 穩定] 等待機會
3357.TWO,臺慶科,269.5,💎 持股,15.47,7,42.86,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
6127.TWO,九豪,57.2000007629,💎 持股,-23.6,9,22.22,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
